Distance,Peak_AF,Coherence_Ratio,Merit_Function,Q_effective,Merit_Scaled
0.1,0.0006743767922822994,1.1978875531920183,0.0008078275656365257,0.79,0.0006381837768528553
0.16551724137931034,0.0011152306376705156,1.1980131977084028,0.0013360610224180355,0.783448275862069,0.001046734704459923
0.23103448275862068,0.0015553086277512412,1.1981385967410498,0.00186347529675312,0.776896551724138,0.0014477275322706137
0.296551724137931,0.0019946102232831324,1.19826375059055,0.0023900691271175004,0.7703448275862069,0.001841177389648447
0.3620689655172413,0.0024331348860286016,1.1983886593274535,0.002915841254030672,0.7637931034482759,0.0022270994405786
0.4275862068965517,0.0028708820787622935,1.1985133229710845,0.003440790420075531,0.757241379310345,0.0026055088836158167
0.49310344827586206,0.003307851265262918,1.1986377415211986,0.0039649153698827835,0.7506896551724138,0.0029764209518051104
0.5586206896551723,0.003744041910318616,1.198761914970639,0.004488214850143874,0.7441379310344828,0.0033398509126243035
0.6241379310344827,0.00417945347972828,1.1988858433094285,0.0050106876096165645,0.7375862068965517,0.0036958140679206317
0.689655172413793,0.004614085440292949,1.1990095265238854,0.0055323323991064025,0.7310344827586208,0.004044325753829509
0.7551724137931034,0.005047937259831331,1.1991329646016775,0.006053147971504812,0.7244827586206897,0.004385401340735038
0.8206896551724137,0.0054810084071652875,1.1992561575282765,0.006573133081757222,0.7179310344827586,0.004719056233178805
0.886206896551724,0.005913298352125617,1.1993791052886322,0.007092286486877166,0.7113793103448276,0.005045305869802619
0.9517241379310344,0.006344806565557003,1.1995018078684179,0.007610606945961032,0.7048275862068967,0.005364165723291156
1.0172413793103448,0.00677553251931592,1.1996242652532754,0.008128093220184034,0.6982758620689655,0.00567565130030092
1.0827586206896551,0.007205475686265787,1.1997464774281765,0.008644744072791751,0.6917241379310345,0.005979778141386294
1.1482758620689655,0.007634635540281458,1.1998684443779626,0.00916055826911022,0.6851724137931035,0.006276561820938623
1.2137931034482758,0.008063011556251316,1.1999901660878445,0.009675534576554226,0.6786206896551725,0.006566017947123697
1.2793103448275862,0.008490603210074534,1.200111642543017,0.010189671764623561,0.6720689655172415,0.006848162161810801
1.3448275862068966,0.008917409978661195,1.2002328737282582,0.010702968604901572,0.6655172413793103,0.0071230101405034595
1.410344827586207,0.009343431339938962,1.2003538596292258,0.011215423871076402,0.6589655172413793,0.007390577592285174
1.475862068965517,0.009768666772839238,1.2004746002303812,0.011727036338907992,0.6524137931034484,0.007650880259728939
1.5413793103448274,0.010193115757315954,1.2005950955173315,0.012237804786273964,0.6458620689655173,0.007903933918859013
1.6068965517241378,0.010616777774333008,1.2007153454753599,0.01274772799314338,0.6393103448275863,0.00814975437906477
1.6724137931034482,0.011039652305863385,1.2008353500891513,0.013256804741573966,0.6327586206896552,0.008388357483030424
1.7379310344827585,0.011461738834903307,1.200955109344505,0.01376503381574946,0.6262068965517242,0.008619759106690009
1.803448275862069,0.011883036845456153,1.2010746232264384,0.014272414001942135,0.6196551724137932,0.008843975159134489
1.8689655172413793,0.012303545822544653,1.201193891720473,0.01477894408854358,0.613103448275862,0.009061021582562235
1.9344827586206894,0.012723265252204422,1.2013129148119353,0.015284622866051105,0.6065517241379311,0.009270914352201344
2.0,0.013142194621486435,1.201431692486146,0.01578944912707477,0.6000000000000001,0.009473669476244864
