Metric,Pair,t_statistic,p_value,Significant_p05,Cohens_d,Effect_size
Merit_Scaled,Fractal vs Botanical,-3.2658,0.004047,yes,-0.8432,large
Merit_Scaled,Fractal vs Random,-0.0776,1.0,no,-0.02,small
Merit_Scaled,Botanical vs Random,3.1938,0.004949,yes,0.8246,large
Coherence_Ratio,Fractal vs Botanical,-41.4588,0.0,yes,-10.7046,large
Coherence_Ratio,Fractal vs Random,-734.5741,0.0,yes,-189.6662,large
Coherence_Ratio,Botanical vs Random,-17.1752,0.0,yes,-4.4346,large
Peak_AF,Fractal vs Botanical,-0.7493,0.913267,no,-0.1935,small
Peak_AF,Fractal vs Random,2.9594,0.009411,yes,0.7641,medium
Peak_AF,Botanical vs Random,3.5351,0.001888,yes,0.9128,large
