Morphology,Seeds,Merit_Mean,Merit_Std,Coherence_Mean,Coherence_Std,PeakAF_Mean,PeakAF_Std
fractal,"[42, 43, 44, 45, 46]",0.018733,0.000644,1.019715,0.014734,0.027308,0.000554
botanical,"[42, 43, 44, 45, 46]",0.028505,0.010605,1.417512,0.105844,0.029597,0.009931
random,"[42, 43, 44, 45, 46]",0.032301,0.007659,1.538095,0.038315,0.031384,0.00799
