Distance,Peak_AF,Coherence_Ratio,Merit_Function,Q_effective,Merit_Scaled
0.1,0.0016876967444604458,1.5727289553138455,0.002654289537801855,0.8,0.002123431630241484
0.16551724137931034,0.0027915082092237462,1.573219045718835,0.004391653881031276,0.7933333333333334,0.003484045412284813
0.23103448275862068,0.003893794557644027,1.5737081266688706,0.0061276961389434255,0.7866666666666666,0.004820454295968828
0.296551724137931,0.004994552037212834,1.5741961982717556,0.007862404829050896,0.78,0.006132675766659699
0.3620689655172413,0.0060937768990947305,1.5746832604786078,0.00959576847609571,0.7733333333333334,0.0074207276215140176
0.4275862068965517,0.007191465398137985,1.5751693131981004,0.011327775612072913,0.7666666666666667,0.008684627969255902
0.49310344827586206,0.00828761379291977,1.5756543563269294,0.013058414776369183,0.76,0.00992439523004058
0.5586206896551723,0.009382218345767268,1.576138389754468,0.014787674515822451,0.7533333333333334,0.011140048135252914
0.6241379310344827,0.010475275322778168,1.576621413364832,0.01651554338478426,0.7466666666666667,0.012331605727305581
0.689655172413793,0.01156678099386238,1.5771034270402868,0.018242009945244813,0.7400000000000001,0.013499087359481163
0.7551724137931034,0.012656731632750516,1.577584430659194,0.019967062766858935,0.7333333333333334,0.014642512695696554
0.8206896551724137,0.01374512351704426,1.5780644240994428,0.021690690427100156,0.7266666666666667,0.015761901710359447
0.886206896551724,0.014831952928225298,1.5785434072363298,0.02341288151128962,0.7200000000000001,0.01685727468812853
0.9517241379310344,0.01591721615168567,1.5790213799430992,0.025133624612687294,0.7133333333333334,0.017928652223716937
1.0172413793103448,0.017000909476764577,1.5794983420921647,0.02685290833260862,0.7066666666666667,0.01897605522171009
1.0827586206896551,0.018083029196764647,1.5799742935540273,0.028570721280475074,0.7000000000000001,0.019999504896332555
1.1482758620689655,0.019163571608982296,1.5804492341977274,0.03028705207390938,0.6933333333333334,0.02099902277124384
1.2137931034482758,0.02024253301473275,1.5809231638906476,0.032001889338812185,0.6866666666666668,0.021974630679317705
1.2793103448275862,0.021319909719383502,1.5813960824992745,0.03371522170947128,0.68,0.02292635076244047
1.3448275862068966,0.022395698032367416,1.5818679898880148,0.035427037828600016,0.6733333333333333,0.023854205471257345
1.410344827586207,0.02346989426722813,1.582338885920689,0.037137326347482125,0.6666666666666667,0.024758217564988087
1.475862068965517,0.02454249474162844,1.5828087704592555,0.03884607592599965,0.66,0.025638410111159773
1.5413793103448274,0.025613495777381465,1.5832776433640738,0.040553275232728184,0.6533333333333333,0.026494806485382414
1.6068965517241378,0.026682893700485325,1.5837455044945985,0.042258912945050874,0.6466666666666667,0.027327430371132902
1.6724137931034482,0.02775068484113961,1.5842123537086148,0.04396297774920776,0.6400000000000001,0.028136305759492972
1.7379310344827585,0.028816865533773262,1.584678190862436,0.0456654583403859,0.6333333333333333,0.02892145694891107
1.803448275862069,0.02988143211707069,1.5851430158108475,0.04736634342280055,0.6266666666666667,0.029682908544955013
1.8689655172413793,0.030944380934003382,1.5856068284073936,0.04906562170979532,0.6200000000000001,0.030420685460073107
1.9344827586206894,0.03200570833184706,1.5860696285038995,0.05076328192389683,0.6133333333333333,0.031134812913323383
2.0,0.033065410662209,1.586531415950508,0.052459312796899464,0.6066666666666667,0.03182531643011901
