Morphology,Seed,Merit_Scaled,Coherence_Ratio,Peak_AF
fibonacci,67,0.00878369,1.38265105,0.00938772
fibonacci,68,0.01042304,1.4465249,0.01088088
fibonacci,69,0.01058304,1.37965301,0.01141069
fibonacci,70,0.00859084,1.45255363,0.0087424
fibonacci,71,0.00863523,1.41609332,0.00906041
voronoi,42,0.06321384,1.5053628,0.06240938
voronoi,43,0.05722992,1.27860684,0.06616988
voronoi,44,0.07379353,1.52901462,0.07166662
voronoi,45,0.03743291,1.53283871,0.03631214
voronoi,46,0.05594908,1.2047187,0.06885751
voronoi,47,0.0204838,1.29610638,0.02345132
voronoi,48,0.03136855,1.44270152,0.0323003
voronoi,49,0.03920885,1.10249796,0.0527596
voronoi,50,0.05833091,1.5606732,0.05559258
voronoi,51,0.03092415,1.21438449,0.03791662
voronoi,52,0.08209927,1.57052006,0.07775871
voronoi,53,0.02533508,1.54406225,0.02441238
voronoi,54,0.04823392,1.53917098,0.04667407
voronoi,55,0.06351155,1.26201329,0.0745874
voronoi,56,0.09767874,1.56286189,0.09301426
voronoi,57,0.00832006,1.3699745,0.0090714
voronoi,58,0.03902798,1.53958635,0.03773191
voronoi,59,0.04594523,1.44110601,0.04729744
voronoi,60,0.05408834,1.3279657,0.06034009
voronoi,61,0.02569554,1.52147053,0.02504691
voronoi,62,0.03189449,1.36138122,0.03484502
voronoi,63,0.0594284,1.32152415,0.06681351
voronoi,64,0.04038075,1.45006397,0.04134108
voronoi,65,0.03160894,1.14200013,0.04131245
voronoi,66,0.02350412,1.35956392,0.02551461
voronoi,67,0.04152564,1.34990039,0.04533766
voronoi,68,0.02501514,1.41143481,0.02599102
voronoi,69,0.03832362,1.38905226,0.04147083
voronoi,70,0.05911115,1.53437536,0.05721349
voronoi,71,0.0299253,1.25460235,0.03536403
hexagonal,42,0.01228786,1.44920082,0.01252048
hexagonal,43,0.01323608,1.45003529,0.01356634
hexagonal,44,0.01387339,1.4819075,0.01374781
hexagonal,45,0.01459388,1.50096824,0.01429109
hexagonal,46,0.01276465,1.46852779,0.01284666
hexagonal,47,0.01313751,1.47871826,0.01316553
hexagonal,48,0.0134054,1.44947651,0.01352294
hexagonal,49,0.01420933,1.48437946,0.01418599
hexagonal,50,0.01144096,1.49958576,0.01120389
hexagonal,51,0.012796,1.46166195,0.01280931
hexagonal,52,0.01083888,1.47176119,0.01097999
hexagonal,53,0.01213731,1.4530431,0.01229119
hexagonal,54,0.01367666,1.46976706,0.01368531
hexagonal,55,0.01436692,1.48188233,0.01441374
hexagonal,56,0.01429753,1.4873992,0.01424383
hexagonal,57,0.0131551,1.45683547,0.01334707
hexagonal,58,0.01063741,1.42158694,0.01104711
hexagonal,59,0.01406031,1.48852494,0.01391909
hexagonal,60,0.01456247,1.48959945,0.01441461
hexagonal,61,0.01287864,1.49083189,0.01270498
hexagonal,62,0.01353557,1.49707634,0.01345385
hexagonal,63,0.01262715,1.50663718,0.01241142
hexagonal,64,0.01326407,1.48950192,0.01322285
hexagonal,65,0.01385482,1.50741882,0.01361221
hexagonal,66,0.01427277,1.48269088,0.01441029
hexagonal,67,0.01281383,1.4952648,0.01264915
hexagonal,68,0.01288152,1.43451354,0.01344134
hexagonal,69,0.0125856,1.44073642,0.01311263
hexagonal,70,0.01420938,1.4794953,0.01429828
hexagonal,71,0.0125348,1.4899663,0.01245256
dla,42,0.08691925,1.54534494,0.08367514
dla,43,0.02601567,1.37250728,0.02805346
dla,44,0.05391235,1.50008346,0.0533255
dla,45,0.0441511,1.23145317,0.05335447
dla,46,0.02463869,1.54145745,0.02378797
dla,47,0.02057797,1.25692196,0.02420823
dla,48,0.02195475,1.51579081,0.02152948
dla,49,0.0595881,1.55658994,0.05695093
dla,50,0.0224758,1.10675761,0.03008295
dla,51,0.03276698,1.39043767,0.03479722
dla,52,0.04113031,1.52783125,0.03991203
dla,53,0.02980074,1.54465754,0.02870879
dla,54,0.02409648,1.42834441,0.02537411
dla,55,0.02254455,1.51925241,0.02209534
dla,56,0.05372842,1.48644078,0.05382737
dla,57,0.04097704,1.55709193,0.0390321
dla,58,0.05213857,1.5191468,0.05097806
dla,59,0.01924304,1.49961046,0.01893274
dla,60,0.0139918,1.30130012,0.01591187
dla,61,0.05703248,1.56353583,0.05425419
dla,62,0.04652148,1.51800382,0.0455356
dla,63,0.04010935,1.53226821,0.0389828
dla,64,0.0180242,1.50216276,0.01784817
dla,65,0.02702557,1.40310569,0.02823378
dla,66,0.01739301,1.2760364,0.02000247
dla,67,0.02659,1.51585655,0.02600849
dla,68,0.04496402,1.54276812,0.04344844
dla,69,0.02351405,1.49595235,0.02314917
dla,70,0.02014197,1.50548707,0.01985303
dla,71,0.045654,1.54162008,0.04404803
clusters,42,0.00957796,1.44954763,0.00976396
clusters,43,0.01061279,1.48280393,0.01058852
clusters,44,0.01884282,1.44687719,0.01934859
clusters,45,0.01088101,1.47957633,0.01083317
clusters,46,0.01135699,1.36228168,0.01225199
clusters,47,0.01610883,1.45761233,0.01631654
clusters,48,0.00987336,1.3113655,0.01127614
clusters,49,0.01588463,1.33905271,0.01760409
clusters,50,0.00626607,1.39926557,0.00662356
clusters,51,0.01258962,1.45574727,0.0126745
clusters,52,0.0155853,1.41312756,0.01644385
clusters,53,0.01280368,1.37599443,0.01392784
clusters,54,0.00865856,1.39260325,0.00904049
clusters,55,0.00898072,1.41086725,0.00947419
clusters,56,0.01441599,1.23014028,0.01754414
clusters,57,0.0156076,1.41817372,0.01643974
clusters,58,0.01328019,1.37975573,0.01414255
clusters,59,0.01418398,1.27995676,0.01613749
clusters,60,0.00822409,1.36340448,0.00911983
clusters,61,0.01494371,1.26785915,0.01746735
clusters,62,0.0076813,1.43250013,0.00791942
clusters,63,0.01497503,1.37932479,0.01602287
clusters,64,0.0102271,1.3948889,0.01080004
clusters,65,0.01591655,1.47732207,0.01591661
clusters,66,0.01650576,1.43931886,0.01708384
clusters,67,0.01566103,1.24588224,0.01837844
clusters,68,0.02177064,1.52350324,0.02120378
clusters,69,0.01693057,1.32855506,0.01925305
clusters,70,0.01188745,1.22924616,0.01440516
clusters,71,0.00730522,1.42435775,0.00768201
concentric,42,0.01272808,1.40216245,0.01342623
concentric,43,0.01530332,1.4095971,0.0161906
concentric,44,0.01869784,1.52122025,0.01818488
concentric,45,0.01632505,1.24020784,0.01956688
concentric,46,0.00933986,1.44638738,0.00957828
concentric,47,0.0160094,1.48795086,0.01599331
concentric,48,0.01377353,1.44987065,0.01397851
concentric,49,0.01148846,1.42027807,0.01210785
concentric,50,0.00885227,1.3823675,0.00953367
concentric,51,0.01419408,1.46506623,0.01427127
concentric,52,0.01278167,1.37087411,0.01383379
concentric,53,0.02086337,1.34428289,0.02285891
concentric,54,0.01706105,1.49187883,0.01684973
concentric,55,0.01742525,1.25075541,0.02047092
concentric,56,0.01213912,1.45244335,0.01230977
concentric,57,0.01005935,1.43964279,0.01033786
concentric,58,0.008711,1.45126111,0.00899363
concentric,59,0.00652638,1.35135821,0.00728127
concentric,60,0.01154882,1.30873975,0.01327187
concentric,61,0.01726195,1.48536139,0.0173555
concentric,62,0.01529434,1.34852913,0.0167739
concentric,63,0.0128208,1.42556692,0.01308359
concentric,64,0.01572437,1.41055882,0.01655779
concentric,65,0.01881221,1.47796318,0.0187052
concentric,66,0.01358811,1.44691654,0.01400452
concentric,67,0.0200459,1.51802238,0.01956464
concentric,68,0.01323265,1.49251179,0.01317939
concentric,69,0.01261443,1.45307727,0.01273793
concentric,70,0.01502617,1.3746876,0.01608125
concentric,71,0.01450475,1.49095496,0.01443378
reticulate,42,0.03058475,1.44499692,0.03136036
reticulate,43,0.05049167,1.41048461,0.05347183
reticulate,44,0.03154246,1.20500887,0.03894537
reticulate,45,0.06632648,1.50838836,0.065532
reticulate,46,0.05132968,1.32018941,0.05777019
reticulate,47,0.03415727,1.12367941,0.04501594
reticulate,48,0.01885337,1.36241099,0.02037887
reticulate,49,0.02184257,1.51740285,0.02144056
reticulate,50,0.04370347,1.51178953,0.04292571
reticulate,51,0.06145664,1.55636937,0.05863345
reticulate,52,0.02951559,1.48390271,0.02951606
reticulate,53,0.02323769,1.1613248,0.02962442
reticulate,54,0.03872014,1.25732771,0.04568647
reticulate,55,0.08474088,1.565697,0.08048736
reticulate,56,0.06060661,1.49463345,0.06010595
reticulate,57,0.03936504,1.51167018,0.03882259
reticulate,58,0.06948741,1.48816576,0.06947902
reticulate,59,0.04915844,1.37581069,0.05311477
reticulate,60,0.02636653,1.17739825,0.03313883
reticulate,61,0.03809893,1.53629083,0.03683875
reticulate,62,0.04053065,1.35165423,0.04440628
reticulate,63,0.04226024,1.21791932,0.05164368
reticulate,64,0.06098535,1.39699799,0.0646442
reticulate,65,0.03392514,1.31030749,0.03860249
reticulate,66,0.07590494,1.56447127,0.07220545
reticulate,67,0.04164841,1.27829122,0.04807774
reticulate,68,0.02823052,1.49316358,0.02812143
reticulate,69,0.01855132,1.32292911,0.02121466
reticulate,70,0.02964337,1.36617317,0.03219443
reticulate,71,0.04564034,1.49765568,0.04534341
