Morphology,Seed,Merit_Scaled,Coherence_Ratio,Peak_AF
fibonacci,67,1.19984442,1.15607493,1.52575485
fibonacci,68,1.27229565,1.12838538,1.64061937
fibonacci,69,1.14092623,1.1979164,1.43389069
fibonacci,70,1.13665973,1.16467934,1.43294851
fibonacci,71,1.22941981,1.1331967,1.57825201
voronoi,42,2.07982548,1.08456427,2.74522704
voronoi,43,1.44833584,1.12932467,1.86419618
voronoi,44,1.28718458,1.15958405,1.6222108
voronoi,45,5.7193736,1.02320648,7.95849233
voronoi,46,4.22685601,1.03640027,5.82021542
voronoi,47,2.59726889,1.05602549,3.52477098
voronoi,48,1.78498409,1.10811668,2.34778735
voronoi,49,2.80936162,1.05303356,3.80902636
voronoi,50,2.04260388,1.07841045,2.71916917
voronoi,51,1.43271575,1.14271578,1.84411259
voronoi,52,1.9672838,1.1160073,2.58557391
voronoi,53,2.53802671,1.05230483,3.44280449
voronoi,54,1.61191103,1.12000059,2.09379972
voronoi,55,3.31752742,1.04004463,4.55052328
voronoi,56,3.18054875,1.03905163,4.37789183
voronoi,57,2.61276682,1.06041227,3.53558607
voronoi,58,1.75365929,1.12382899,2.26187454
voronoi,59,1.09796368,1.17860952,1.37006144
voronoi,60,2.09764371,1.09581825,2.75273726
voronoi,61,2.06245897,1.0757922,2.75588522
voronoi,62,4.31164523,1.02683332,5.9882394
voronoi,63,2.49097097,1.05185038,3.38756975
voronoi,64,2.53837576,1.06254562,3.42790414
voronoi,65,0.91904151,1.23294429,1.11325242
voronoi,66,1.26313032,1.16983821,1.59493152
voronoi,67,3.28566211,1.04329316,4.50097105
voronoi,68,1.71036317,1.11314177,2.21140694
voronoi,69,1.52351895,1.12740343,1.95956912
voronoi,70,2.13800737,1.07179696,2.85213999
voronoi,71,1.47277126,1.0931184,1.9374898
hexagonal,42,1.1664489,1.16822315,1.46787915
hexagonal,43,1.14569082,1.13776608,1.47062787
hexagonal,44,1.43678671,1.12162498,1.86889874
hexagonal,45,1.11409487,1.15834209,1.41713115
hexagonal,46,1.11955342,1.18073393,1.40187011
hexagonal,47,1.29606462,1.13790407,1.67035327
hexagonal,48,1.08662071,1.17681624,1.3899385
hexagonal,49,1.07426257,1.13099381,1.37639508
hexagonal,50,1.24862673,1.14451571,1.6143186
hexagonal,51,1.16913257,1.14677039,1.49448311
hexagonal,52,1.08992274,1.15194376,1.38408393
hexagonal,53,1.11878315,1.19673811,1.41372115
hexagonal,54,1.07101029,1.14941941,1.35212059
hexagonal,55,1.07521338,1.1825435,1.35063376
hexagonal,56,1.148928,1.17128835,1.45379923
hexagonal,57,1.0677869,1.14621974,1.36137118
hexagonal,58,1.1577881,1.18003238,1.47368869
hexagonal,59,1.03909336,1.17917368,1.29736188
hexagonal,60,1.20375068,1.16333786,1.5383774
hexagonal,61,1.26827893,1.12584293,1.65519855
hexagonal,62,1.37259628,1.11841678,1.77200329
hexagonal,63,1.03099785,1.18578767,1.28635007
hexagonal,64,1.12705524,1.17782418,1.41974616
hexagonal,65,1.18060942,1.13511839,1.50947774
hexagonal,66,1.04455484,1.19245682,1.29943693
hexagonal,67,1.02357,1.20617411,1.26178272
hexagonal,68,1.11952099,1.20943371,1.40117071
hexagonal,69,1.28149383,1.15059693,1.6381708
hexagonal,70,1.12732952,1.17732885,1.44464712
hexagonal,71,1.20804916,1.17706733,1.53980399
dla,42,1.77597373,1.10169219,2.35458435
dla,43,5.53264872,1.01121116,7.78733203
dla,44,4.97374425,1.02096966,6.94636115
dla,45,3.2804213,1.04786585,4.47610294
dla,46,1.89905046,1.12225582,2.5028283
dla,47,2.56774028,1.04942992,3.50459275
dla,48,1.23759254,1.15040135,1.58361697
dla,49,4.58541408,1.03350802,6.33064784
dla,50,2.5143818,1.05041862,3.44846728
dla,51,1.87165331,1.06579866,2.5478453
dla,52,1.8971768,1.09259891,2.53994348
dla,53,3.99543346,1.02226837,5.55601238
dla,54,2.81672334,1.03353099,3.88656232
dla,55,1.56516446,1.14492374,2.07294767
dla,56,2.31246406,1.07103917,3.12060909
dla,57,2.85280927,1.03153671,3.98013824
dla,58,5.07292018,1.02076564,7.07967801
dla,59,4.34049108,1.0293543,6.00401588
dla,60,5.20262774,1.03496488,7.17216547
dla,61,3.73066461,1.04385754,5.11183098
dla,62,2.04244336,1.05745454,2.78500065
dla,63,4.83719494,1.04757441,6.59539284
dla,64,1.92251022,1.08515794,2.56649124
dla,65,3.49610933,1.04474564,4.78857334
dla,66,1.98383456,1.08289175,2.6333633
dla,67,3.53397113,1.02484777,4.9047119
dla,68,2.99614978,1.03488935,4.14477993
dla,69,1.55491723,1.12689591,2.01998591
dla,70,1.88279621,1.07425312,2.54997797
dla,71,3.52375373,1.02999958,4.89458759
clusters,42,1.97386386,1.04801671,2.6910835
clusters,43,2.29944432,1.04190892,3.16678706
clusters,44,2.23334302,1.05056798,3.04856693
clusters,45,1.72660676,1.07200885,2.33897418
clusters,46,2.43525464,1.04175815,3.35258351
clusters,47,2.72326601,1.02966289,3.77613826
clusters,48,1.2935849,1.09726723,1.71631187
clusters,49,1.20505572,1.12196266,1.5721995
clusters,50,1.42991968,1.07572466,1.9204826
clusters,51,1.15887557,1.13631141,1.50459073
clusters,52,2.67019643,1.04023689,3.65929141
clusters,53,2.30134202,1.05064594,3.15373085
clusters,54,2.12979598,1.05315167,2.89345308
clusters,55,1.25036516,1.09410191,1.66091984
clusters,56,1.72393485,1.06721531,2.34322546
clusters,57,2.89208877,1.03403201,3.99407486
clusters,58,2.9653531,1.02880713,4.11412712
clusters,59,3.2052462,1.03675253,4.40882557
clusters,60,1.71041457,1.05698298,2.31624962
clusters,61,1.64226425,1.07189805,2.20931333
clusters,62,2.10366645,1.03647575,2.91477879
clusters,63,2.85649687,1.02851946,3.98053225
clusters,64,2.06939798,1.04899688,2.84853034
clusters,65,1.53889098,1.07810629,2.07118746
clusters,66,2.68739708,1.03953245,3.69106972
clusters,67,1.4218756,1.09289927,1.86963758
clusters,68,1.35884734,1.10564248,1.81358799
clusters,69,1.24355712,1.10452702,1.6283312
clusters,70,1.91969765,1.06134607,2.60201964
clusters,71,2.57048988,1.03757933,3.53221396
concentric,42,0.80047071,1.26323077,0.92218341
concentric,43,0.88728539,1.25385306,1.04307426
concentric,44,0.80762425,1.26789407,0.93145549
concentric,45,0.90789598,1.23633727,1.0780419
concentric,46,1.02049349,1.21802191,1.23062706
concentric,47,0.91540565,1.2416158,1.08236921
concentric,48,0.75927108,1.28611955,0.87177986
concentric,49,0.89560376,1.24686077,1.04906675
concentric,50,0.95407181,1.26158642,1.13285344
concentric,51,0.86688913,1.24048756,1.03747793
concentric,52,0.94399151,1.23584499,1.1394859
concentric,53,0.80101361,1.24418535,0.93413071
concentric,54,0.77508689,1.25938133,0.90438599
concentric,55,0.9103907,1.23971758,1.08137523
concentric,56,1.02192825,1.2006246,1.24458957
concentric,57,0.84596068,1.25804633,0.99490924
concentric,58,0.82686983,1.24316425,0.97369395
concentric,59,0.90902216,1.23808799,1.08038056
concentric,60,0.72630984,1.27034025,0.83138716
concentric,61,0.84470391,1.25609935,0.99711739
concentric,62,0.90498305,1.23389829,1.07889367
concentric,63,0.75985464,1.28154555,0.86374444
concentric,64,0.91186298,1.26000548,1.07596267
concentric,65,0.96876528,1.22852986,1.1667714
concentric,66,0.83637975,1.25506794,0.97754876
