Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Coherence_Ratio,Fractal vs Voronoi,30,0.079248,0.060094,0.097488,2.0664,2.0396,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Hexagonal,30,0.008767,-0.002303,0.019746,0.3956,0.3904,0.131365,1.0,no,0.3255
Coherence_Ratio,Fractal vs Dla,30,0.111878,0.09643,0.126426,3.7103,3.6621,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Clusters,30,0.108694,0.096131,0.120792,4.3969,4.3398,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Concentric,30,-0.079046,-0.088246,-0.069445,-4.095,-4.0418,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Reticulate,30,0.115218,0.090468,0.134578,2.6302,2.5961,0.0,0.0,yes,1.0
Coherence_Ratio,Botanical vs Random,30,-0.026357,-0.036742,-0.015945,-1.268,-1.2515,9e-06,0.000408,yes,0.9979
Coherence_Ratio,Botanical vs Fibonacci,30,-0.12415,-0.133915,-0.114294,-6.3323,-6.2501,0.0,0.0,yes,1.0
Coherence_Ratio,Botanical vs Voronoi,30,-0.059401,-0.078679,-0.041078,-1.5635,-1.5432,1e-06,2.9e-05,yes,1.0
Coherence_Ratio,Botanical vs Hexagonal,30,-0.129882,-0.140663,-0.119026,-6.0305,-5.9522,0.0,0.0,yes,1.0
Coherence_Ratio,Botanical vs Dla,30,-0.026771,-0.041992,-0.012351,-0.9015,-0.8898,0.001178,0.037689,yes,0.9296
Coherence_Ratio,Botanical vs Clusters,30,-0.029956,-0.04197,-0.018177,-1.2398,-1.2237,1.6e-05,0.000691,yes,0.9971
Coherence_Ratio,Botanical vs Concentric,30,-0.217696,-0.226625,-0.208344,-11.7157,-11.5636,0.0,0.0,yes,1.0
Coherence_Ratio,Botanical vs Reticulate,30,-0.023432,-0.04834,-0.004282,-0.5388,-0.5318,0.044506,0.899925,no,0.5367
Coherence_Ratio,Random vs Fibonacci,30,-0.097793,-0.109109,-0.086535,-4.3014,-4.2455,0.0,0.0,yes,1.0
Coherence_Ratio,Random vs Voronoi,30,-0.033045,-0.052651,-0.014272,-0.8324,-0.8216,0.00248,0.074386,no,0.8869
Coherence_Ratio,Random vs Hexagonal,30,-0.103525,-0.115842,-0.091212,-4.2392,-4.1841,0.0,0.0,yes,1.0
Coherence_Ratio,Random vs Dla,30,-0.000414,-0.016574,0.015055,-0.013,-0.0128,0.960048,1.0,no,0.0503
Coherence_Ratio,Random vs Clusters,30,-0.003599,-0.016912,0.009754,-0.1345,-0.1327,0.6046,1.0,no,0.0806
Coherence_Ratio,Random vs Concentric,30,-0.191339,-0.202048,-0.180483,-8.7536,-8.6399,0.0,0.0,yes,1.0
Coherence_Ratio,Random vs Reticulate,30,0.002925,-0.02218,0.022971,0.065,0.0642,0.802543,1.0,no,0.0571
Coherence_Ratio,Fibonacci vs Voronoi,30,0.064749,0.045093,0.083687,1.6563,1.6348,0.0,7e-06,yes,1.0
Coherence_Ratio,Fibonacci vs Hexagonal,30,-0.005732,-0.017363,0.005884,-0.2447,-0.2415,0.34731,1.0,no,0.1539
Coherence_Ratio,Fibonacci vs Dla,30,0.097379,0.081392,0.112428,3.1319,3.0913,0.0,0.0,yes,1.0
Coherence_Ratio,Fibonacci vs Clusters,30,0.094195,0.081204,0.106948,3.6428,3.5955,0.0,0.0,yes,1.0
Coherence_Ratio,Fibonacci vs Concentric,30,-0.093545,-0.103679,-0.083117,-4.5105,-4.4519,0.0,0.0,yes,1.0
Coherence_Ratio,Fibonacci vs Reticulate,30,0.100719,0.075767,0.120423,2.2655,2.2361,0.0,0.0,yes,1.0
Coherence_Ratio,Voronoi vs Hexagonal,30,-0.070481,-0.090157,-0.050141,-1.7578,-1.735,0.0,1e-06,yes,1.0
Coherence_Ratio,Voronoi vs Dla,30,0.032631,0.010886,0.055055,0.725,0.7156,0.006931,0.194064,no,0.7885
Coherence_Ratio,Voronoi vs Clusters,30,0.029446,0.009491,0.050836,0.7084,0.6992,0.008601,0.215026,no,0.7698
Coherence_Ratio,Voronoi vs Concentric,30,-0.158294,-0.176641,-0.138255,-4.1021,-4.0488,0.0,0.0,yes,1.0
Coherence_Ratio,Voronoi vs Reticulate,30,0.03597,0.007067,0.062219,0.6529,0.6444,0.014259,0.332938,no,0.7008
Coherence_Ratio,Hexagonal vs Dla,30,0.103111,0.086492,0.118662,3.1878,3.1464,0.0,0.0,yes,1.0
Coherence_Ratio,Hexagonal vs Clusters,30,0.099927,0.086357,0.113316,3.6534,3.606,0.0,0.0,yes,1.0
Coherence_Ratio,Hexagonal vs Concentric,30,-0.087814,-0.09904,-0.076547,-3.89,-3.8394,0.0,0.0,yes,1.0
Coherence_Ratio,Hexagonal vs Reticulate,30,0.10645,0.081031,0.126499,2.3477,2.3172,0.0,0.0,yes,1.0
Coherence_Ratio,Dla vs Clusters,30,-0.003185,-0.02014,0.013701,-0.0933,-0.092,0.71936,1.0,no,0.0646
Coherence_Ratio,Dla vs Concentric,30,-0.190925,-0.205416,-0.175394,-6.2687,-6.1873,0.0,0.0,yes,1.0
Coherence_Ratio,Dla vs Reticulate,30,0.003339,-0.023942,0.025866,0.0671,0.0663,0.795931,1.0,no,0.0575
Coherence_Ratio,Clusters vs Concentric,30,-0.18774,-0.199806,-0.175133,-7.4827,-7.3855,0.0,0.0,yes,1.0
Coherence_Ratio,Clusters vs Reticulate,30,0.006524,-0.019671,0.027365,0.1399,0.138,0.590871,1.0,no,0.0831
Coherence_Ratio,Concentric vs Reticulate,30,0.194264,0.169104,0.213395,4.4136,4.3563,0.0,0.0,yes,1.0
