Metric,Pair,N,mean_diff,CI_lower,CI_upper,Cohens_d,Hedges_g,p_raw,p_holm,Significant_holm,power
Merit_Scaled,Clusters vs Concentric,30,-0.001174,-0.003016,0.000588,-0.3259,-0.3217,0.21191,1.0,no,0.2369
Merit_Scaled,Clusters vs Reticulate,30,-0.029979,-0.036623,-0.024082,-2.4061,-2.3749,0.0,0.0,yes,1.0
Merit_Scaled,Concentric vs Reticulate,30,-0.028805,-0.035386,-0.022835,-2.3192,-2.289,0.0,0.0,yes,1.0
Coherence_Ratio,Fractal vs Botanical,30,-0.31893,-0.346974,-0.288823,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Random,30,-0.320154,-0.362307,-0.275256,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Fibonacci,30,-0.304625,-0.316911,-0.291727,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Voronoi,30,-0.284179,-0.331333,-0.235689,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Hexagonal,30,-0.362161,-0.370728,-0.353332,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Dla,30,-0.346788,-0.385265,-0.302289,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Clusters,30,-0.273224,-0.300194,-0.245597,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Concentric,30,-0.307211,-0.33177,-0.280154,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Fractal vs Reticulate,30,-0.280611,-0.32579,-0.233919,n/a,n/a,n/a,n/a,n/a,n/a
Coherence_Ratio,Botanical vs Random,30,-0.001224,-0.052962,0.051671,-0.0116,-0.0114,0.96443,1.0,no,0.0502
Coherence_Ratio,Botanical vs Fibonacci,30,0.014305,-0.017405,0.045933,0.2276,0.2247,0.383466,1.0,no,0.1396
Coherence_Ratio,Botanical vs Voronoi,30,0.034752,-0.020625,0.08946,0.3093,0.3053,0.236826,1.0,no,0.218
Coherence_Ratio,Botanical vs Hexagonal,30,-0.04323,-0.07329,-0.013499,-0.7186,-0.7093,0.008808,0.405188,no,0.7814
Coherence_Ratio,Botanical vs Dla,30,-0.027858,-0.076718,0.023972,-0.2764,-0.2728,0.289269,1.0,no,0.1835
Coherence_Ratio,Botanical vs Clusters,30,0.045706,0.006202,0.085232,0.5693,0.5619,0.031439,1.0,no,0.5826
Coherence_Ratio,Botanical vs Concentric,30,0.01172,-0.0271,0.050626,0.1517,0.1497,0.559202,1.0,no,0.089
Coherence_Ratio,Botanical vs Reticulate,30,0.038319,-0.015272,0.094069,0.3484,0.3439,0.18346,1.0,no,0.2639
Coherence_Ratio,Random vs Fibonacci,30,0.015529,-0.031753,0.057508,0.1695,0.1673,0.516065,1.0,no,0.099
Coherence_Ratio,Random vs Voronoi,30,0.035976,-0.028342,0.099308,0.2754,0.2718,0.290621,1.0,no,0.1825
Coherence_Ratio,Random vs Hexagonal,30,-0.042006,-0.088236,-0.001015,-0.4678,-0.4617,0.079779,1.0,no,0.4293
Coherence_Ratio,Random vs Dla,30,-0.026634,-0.08427,0.033842,-0.2204,-0.2176,0.396811,1.0,no,0.1338
Coherence_Ratio,Random vs Clusters,30,0.04693,-0.005859,0.096694,0.4497,0.4439,0.087858,1.0,no,0.4026
Coherence_Ratio,Random vs Concentric,30,0.012944,-0.038658,0.062329,0.1268,0.1252,0.625584,1.0,no,0.0771
Coherence_Ratio,Random vs Reticulate,30,0.039543,-0.023708,0.102602,0.3075,0.3035,0.238588,1.0,no,0.216
Coherence_Ratio,Fibonacci vs Voronoi,30,0.020446,-0.027597,0.07018,0.2062,0.2035,0.430239,1.0,no,0.1231
Coherence_Ratio,Fibonacci vs Hexagonal,30,-0.057535,-0.07222,-0.04328,-1.9996,-1.9737,0.0,0.0,yes,1.0
Coherence_Ratio,Fibonacci vs Dla,30,-0.042163,-0.082502,0.00379,-0.4913,-0.4849,0.065576,1.0,no,0.4647
Coherence_Ratio,Fibonacci vs Clusters,30,0.031401,0.001961,0.06115,0.5195,0.5127,0.051067,1.0,no,0.5075
Coherence_Ratio,Fibonacci vs Concentric,30,-0.002585,-0.030398,0.026568,-0.0459,-0.0453,0.859891,1.0,no,0.0535
Coherence_Ratio,Fibonacci vs Reticulate,30,0.024014,-0.023082,0.073022,0.249,0.2457,0.341985,1.0,no,0.1577
Coherence_Ratio,Voronoi vs Hexagonal,30,-0.077982,-0.127347,-0.029638,-0.8001,-0.7897,0.004148,0.199095,no,0.8615
Coherence_Ratio,Voronoi vs Dla,30,-0.062609,-0.124757,0.000726,-0.4944,-0.488,0.060562,1.0,no,0.4694
Coherence_Ratio,Voronoi vs Clusters,30,0.010954,-0.045189,0.065992,0.0987,0.0974,0.704098,1.0,no,0.0663
Coherence_Ratio,Voronoi vs Concentric,30,-0.023032,-0.077429,0.031455,-0.2116,-0.2088,0.416935,1.0,no,0.1271
Coherence_Ratio,Voronoi vs Reticulate,30,0.003568,-0.062428,0.071756,0.0266,0.0263,0.918271,1.0,no,0.0512
Coherence_Ratio,Hexagonal vs Dla,30,0.015373,-0.024046,0.059863,0.1833,0.1809,0.483044,1.0,no,0.1074
Coherence_Ratio,Hexagonal vs Clusters,30,0.088936,0.061126,0.117486,1.5429,1.5228,1e-06,5.6e-05,yes,1.0
Coherence_Ratio,Hexagonal vs Concentric,30,0.05495,0.028647,0.082215,1.0298,1.0164,0.000329,0.017103,yes,0.9751
Coherence_Ratio,Hexagonal vs Reticulate,30,0.08155,0.036289,0.12885,0.8609,0.8497,0.002247,0.112354,no,0.9063
Coherence_Ratio,Dla vs Clusters,30,0.073563,0.02356,0.120965,0.7409,0.7312,0.005979,0.28101,no,0.8055
Coherence_Ratio,Dla vs Concentric,30,0.039577,-0.010031,0.086676,0.4086,0.4032,0.120091,1.0,no,0.3434
Coherence_Ratio,Dla vs Reticulate,30,0.066177,0.004282,0.127226,0.5314,0.5245,0.044162,1.0,no,0.5255
Coherence_Ratio,Clusters vs Concentric,30,-0.033986,-0.070702,0.003775,-0.4512,-0.4454,0.085869,1.0,no,0.4048
Coherence_Ratio,Clusters vs Reticulate,30,-0.007386,-0.060806,0.046289,-0.068,-0.0671,0.793416,1.0,no,0.0577
Coherence_Ratio,Concentric vs Reticulate,30,0.0266,-0.026495,0.079505,0.25,0.2467,0.338177,1.0,no,0.1586
Peak_AF,Fractal vs Botanical,30,0.00125,-0.002933,0.005187,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Random,30,-0.008691,-0.012898,-0.004835,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Fibonacci,30,0.019964,0.01958,0.020339,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Voronoi,30,-0.0178,-0.024826,-0.011119,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Hexagonal,30,0.016286,0.015876,0.016713,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Dla,30,-0.006045,-0.011768,-0.000907,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Clusters,30,0.015629,0.014223,0.017071,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Concentric,30,0.014768,0.013417,0.016096,n/a,n/a,n/a,n/a,n/a,n/a
Peak_AF,Fractal vs Reticulate,30,-0.015806,-0.021698,-0.010398,n/a,n/a,n/a,n/a,n/a,n/a
